,question_message_text,ans_message_text
41886,🤣🤣🤣,😂😂Veh badiya tha
41887,Shavasan karle,Koi bhi kr le
41888,ku,Ni aaegi
41889,You tooBye take care,yeah be always happy and good
41890,😂🤣,To fir remove kro hm sabka sr dard door ho Jaye🤣🤣
41891,Kidhr .?,Meko free kr sakti ho ky ?? 🤔
41892,me too,fam of lucifer webseries
41893,to second year bolo  first thodi hua first mtlb   12 abhi complete  hua,College ke second semester mein hu abhi main 🙄Last year admission krwaya tha
41894,Waha pta h n Kya hote rehta h😂😝,Hann wohi wohi
41895,Koiii na😝😝😝,Yeah sid
41896,Are City ?,State kya h
41897,Ok🥵,Wat de pak
41898,Where r u from?,Am too fine
41899,Mujhe toh aari hai hassi koi dikkat😏😏😂😂😂😂😂😂😂,Gana hai.. Khush nhi ho jada😏
41900,Auditor,So ure dreem
41901,Where ru from India,Such a lovely  initiative
41902,"So, wanna talk in p.v?",Yes sightseeing but here very busy lose your texts🙄
41903,Ok iam doremon,Yrr so irritate
41904,kya hua gya tha,Hadd ho ho gai thi
41905,"Oh, 5475 days!",15 years
41906,Okkgood night🦋✨,Noiveee me iz going to sleep now
41907,meko de do 😂,Thanks 😄😄
41908,𝘏𝘦𝘭𝘭𝘰 𝘣𝘳𝘰 🤟,Hiii sis
41909,Ha abhi fillers chal rahe hai,Nikl gya island se?
41910,I’m well thanks for asking,How about u
41911,Aree lockdown hai chhip ke aa jana stupid😁😁,🙄 mi bimar ni hu 😂
41912,Mein kar deta hu ilaaz don't worry 😂😂,Koi nhi phr andr chala jayega😂😂
41913,Kk,Toh m toh apni baat hi krumga na
41914,Arey vo bandi nhi mujhe bandi bana k karagar me dal degi vro 🥲,Bhai ki bandi🥲
41915,Usne muje se,Sneha malik ek fraud person hai
41916,😄😄😄😂todays I want go to charbagh with my sis,Chi shode khoshhali khabareye😕Divoone😂😂
41917,@Shinchankadoast ok dear..bt next please.. bhai h wo mera...dil bahut dukhta h uske liye.. please dobaara mt krna,usne jo bheja tha usse pucho ...ar mne mazak kia tha 1 min se bhi kam k lye kia mute kia ... I've never mis used admin rights
41918,Aap kya samjte ho vo,Vhi to kuch bhi
41919,Ok,Okay 😂
41920,Ok,"Nothing, quoted achievement"
41921,Karnataka,Wear r u from bro
41922,Yup,ngefans lu?
41923,Hi Mr. Singh..good morning.. how have you been?,Hello sir @nirajkumar
41924,hi ya,Это страна долбаеб
41925,Kya,Ha tum major waha ke
41926,Kyu,Aap abhi aaye ....me aapki Raha dekh raha
41927,Hahahah whoops😂🔪,You wrote nthin and I thought you pronounced my name Nitin lol
41928,Sb mst yaara How r u ?,aur bata kya haal hai bro??
41929,Jo unmute or unban kar raha h jo vc p Galat Bol raha h us ko,Kis ko boluuu
41930,Tobat ommm😍😍,"iyyah sya suka sama om""😍😍😍"
41931,Admin,Jan di apus
41932,You?,Nice 😅
41933,Yes,Hello please reply Ma'am
41934,😒😒,Nhi ni
41935,Acha vro bhul gya🥲,Vro aww apna word nhi hai oww hai
41936,Just do it 😭,Why do you want to add you in that group?
41937,Batati hu,Muje bhi bata kya baat hai 😂😂🤣🤣🤣
41938,😍✋🏻,nimb jg kau🙏🏻
41939,😭😑ni parso,Tumhara aaj break up hua hai n🥲
41940,ok,You will learn soon
41941,Mute kia tha shyd tuje 😂,Mute kispe
41942,Mobile?,Cod khelre ajkl 🤔...tu khelta h
41943,😳,Gusy 😔😔
41944,Maharashtra,Nh... Chhattisgarh aur tu
41945,Hogu malko hogu sumne tele tinnbeda,Singur putem face atât de puțin; Împreună putem face atât de mult.
41946,Fine 😊u,ZeraHow are you
41947,i thought you lefy,"Kuch nhi, aao vc aur sunno Mai kya bol rha hu😀😀😀😀"
41948,nahi to dil se dekho sab yahi hai,Sab mr gye ka
41949,Oh...God added..Then itz oky..Thank God,U just need to stirr sugar is added by god himself but don’t forget to stirr
41950,Hn tumko hona tha writer 😒,Woh. Toh h 😍 actress me dam tha lekin ve friends nhi dusman hote toh mja aata
41951,U,Oo cool
41952,😏😏😏,Plz I wanna visit Jupiter. 🙏🙏
41953,Block,u masg me
41954,Oohhoo bol nhi rha,hm h
41955,unhone mereko bhn kaha,Tune dil tod Diya uska😂😂
41956,Up,Where are you from?👀
41957,Aap kha se ho,Hi kya bolu🥺🙄
41958,Matlab sari nazar mere pe hai na ..😂,tume point out  kar rhii thi 😂😂😂 durse group mai gf hai
41959,Marja,I don't know if I'm a admin and you have rights or not. I'm a chat robot.
41960,Hello,Hiiiii 🙄🙄🙄
41961,We aren't....just having a conversation,Don't fight 😡
41962,I'll tell,Bta to
41963,Yup,idea du?
41964,Why For you yes?,For me yes
41965,"Ah, closer to my place then 😋","Hell, ok?"
41966,"Heaven is an American salary, a Chinese cook, an English house, and a Japanese wife. Hell is defined as having a Chinese salary, an English cook, a Japanese house, and an American wife.",I want hell
41967,1+5 zero's,What is 1+5
41968,What...?🥲,U skipped.... 🌸
41969,Yeahhh🥲,Why you are so depressed? Be happy the life is short
41970,i wan't seblak,What you want
41971,Prr block nhi krengi n??,Apki mrzi
41972,अंग्रेजी से पढ़े हो पक्का ?,That was the funny one😂
41973,😂have you ever yell? 😂,Hell yeah 😂
41974,MBA,So what will u do after this
41975,Kya,Are pagal vo Kuch or puch raha h
41976,Koi na.. Ye bhi yesa kar skti h.. 😒,Flooding k vajh se princess dlt kr rhi apke m s g
41977,But I like,I do not like
41978,Mast,Kashi ahes
41979,Aap bhi🙂,jee aspirat ho tho yha se chale jowarna na ho peag jee
41980,5 hai ruk mai tag krta hu😂,Yaar tumhe koi warn nhi hai🤨😑
41981,Haa bhai 😂 chl ky rha,Band Karo ye sastta satta😂😂😂😂
41982,Chai,Kya kring
41983,cuto babe🥰😘,Pyaare bhaiya 🥰🥰🥰
41984,Ok 😐,Near of moon
41985,😏😏,🚫 Sakshi you need to wait 3m 59s before doing the next payment!
41986,BCom 1st year,One day exam Preaption or college
41987,yup,So you trust the fact that Scorpios can be obsessive and toxic!?😂😂😂
41988,🙂 it's ok !! Sir,Sry typo error hui.muje bolna tha u dancing not i dancing pollChamaa kare devi🥴🥴
41989,Okay...chill...Mr. Intelligent !!!,"But I'm not an idiot. At the end of the day, I've learned a lot."
41990,Not much,So many fake accounts
41991,Hello,Hi 02
41992,It's not pickup line lol,Picup lines 😂Laya note kr leta hun.. Mai kisi aur ko chep dunga 😜
41993,Thank you so much I'm sorry id means what ?🥺 my English language is not so good,nice i love iran do you use ig ?
41994,Sorry the messages are too many Ive missed you,I said Hi to you and you straight away ignored me? For what reason?
41995,😁😁 it's all depend on mood... But normally I like to listen heart touching sad songs...😁😁,What is your beat songs
41996,Na na🥲🥲🥲🥲,Aree bhaiiiiii pleaseeee🥲
41997,Ha bhai,☆꧁☬. Param ☬꧂☆ hi
41998,I'm doing graduation,Civil engineer u
41999,You're welcome,"yeah , we can be friend . thanks"
42000,can i be admin here),Ok good I am from india😊😊
42001,Are you think,To aapki isme kya bhumika rahi
42002,I'm broke 😭😂,its a lot and estate agents wont let tenents move in without pro clean also they say 8 electrical faults do a rewire 900£ they taking the pissssss
42003,How are youuu? Why you don't have energy?😶😶😕  khob umade bashe!,Thanks god be great🙏🏼Yeki umad pivi😕
42004,Gajju 😋,bus karja
42005,But I don't drink😬,Daaru lao
42006,Good. Are u a student,"Great, you?"
42007,Sorry I need more information.,Wat u eager to tell
42008,Ok Avenger jindabad,😭😂😂areey pagal yeh movie hai
42009,Then who told you,Why would she tell???
42010,12 passout,Which standard student
42011,Vo to pta h already😂,Me itna bhi khaas nahi😅
42012,What?,To char mitoni farsi bgiiii jrrr
42013,Ha...jo tereko bot kae bare mae bta rhe teh...whi h....bhul gya🥲,Clone hqi na
42014,Yes,aapka u tube h channel
42015,Oooo....fine then....😅No problem!!!,Why I ll go mad? I sleep late daily 🥱🥱🥱
42016,Gujarat n you,Kaha se hoo
42017,😊 thanks for wishing,Happiest birthday 🎂🎉🎂Wishing you a happiest year aheadMay all your dreams comes true...😇😇🍕🍕
42018,Earth,GTK...do u wanna know whr i am??
42019,hi,Hello only Indians are here??
42020,Kaise ho aap,ape si anj
42021,D..m,Any good guy is there?? I am feeling very sad and lonely
42022,😍,Yummy 😁
42023,Wht?,u r foreigners..guy??
42024,Hi,Hey European
42025,Hey how are you😋,Hay medico
42026,Iy anjr,tikel nya pliss
42027,"My major was English literature , what's your major ?",No I will be this year
42028,"Ooo,okkk",No. Lol. I’m just saying that your talking to a lot of people at once. So do you prefer doing that?
42029,To bar bar kyo nikal rhi ho yar😂,Kuch nhi 🙈
42030,U like football,Doing great..
42031,likhne wali bhi xhlegi,Koi ni hai yha  sunne wala
42032,Poora ni likh sakti chutail Samaj ni aata,Hnn. Na
42033,Ok you,Nothing for chat
42034,Mna kr rhi thi 😡,Katl e Aam kardiya
42035,but rply nahi milega may bi,Yes ofcourse
42036,Bta na,Aare yarr Bahut lambi story hai choro
42037,Bro,Kya likha hai ye smjh nhi aa rha
42038,Samaa,Kgk bs
42039,Kuch nahi,Ok kya krte ho aap
42040,Barikala😁✌️,Jomle be in qashangi mikhandi bego barikala😂😂
42041,I'm tired of studying all day lol,go nd study wht r u doing here
42042,Zinda Hun 😂ussi m Khush hn wbu?,Ar zindagi me sb thk h
42043,exactly..but it's fun,Many people
42044,"Oh - did you miss me? How sweet!I missed you,too.",Oh please.. you left this chat yesterday. I searched a lot for you.. I missed you my friend..
42045,Ha to charge kar rhi na 🥺🥺🥺🥺,"Tumne hi kaha battery ke bareme , mai nai"
42046,Kay Kar rhi ho aap,Ku6 nahi
42047,Kyuuuu bawasa,तो आ जाएं बावा हम आपके इनबॉक्स में?
42048,🤷🏻‍♀️🤷🏻‍♀️OHK,To become friends
42049,Rona ni rona ni,Toh Mai to puchri thi bs 🥺
42050,Good night,Mat lab ?
42051,Subject kya hai tra,OK bhai good
42052,ji satyug ke naa h hum bhi clg me h but nibba nibbi n gf bf se upar ki soch h hamari,Ji tusi ta satyug de oo
42053,Kb se dekh raha hu 😂 Akela spam krta to bhi koi na.. pr que.. or ans... Khud de rha 🤔😂,near ganja phuka h...khud ka reply khud he kr rha...😂
42054,Yep,Do you live in Karnataka ?
42055,Gana learn kiya,gud morning
42056,sure,I'm good can we friends
42057,Address bta fir,Papa mummy ghar mein kar
42058,Yes,hi still remember me?
42059,Peace be upon you,I am not scared
42060,😂😂,arey nhi bata raha hu ke sab gayab ho ja raha hai p c nhi ??
42061,Ni yar,Mumbai ki ho?
42062,Work,Okk good are you studant?
42063,What would that be,I can give u sense
42064,milo #antiplagiat,RyujinNeed om'Tap@Cathlynaurelly
42065,What in the world,Not bad wbu
42066,I cut whth my bst friend😕,Why  ? What happened
42067,Lga pe Satta ab,Adi भाई दानवीर
42068,Yeah....You are so good,You are also Indian?
42069,Lol😂,Then be bad 😂Just asking to fulfill formality of friendship 😂😂
42070,Fine wbu ?,Hi how are you doing
42071,To war?,Koi nhi h
42072,Sabne engineering kyu li hai?,Shi hai🥲
42073,Ha mai hu,आप आश्चर्यचकित हैं?
42074,yeah,Koi dream 11 par hae kya
42075,Aaah you are so good,No problem still allah bless you
42076,Accha ha...yaad dila di😈,Haan jaise murder toh achi Baath hai🥲
42077,Maggi masala daalkr,Eating Maggie 😂
42078,Neet aspriant,No 😒
42079,21,I know overthere hw old re u?
42080,Lol,😂😂 I m good
42081,Okk,Limit hoti hai 1 lakh hi de skte max
42082,I think so😂👍,A sad person
42083,Yes😁,So. Lil child❤
42084,Thank u but u can't really understand,Buddy i can understand your pain and situations
42085,cold,How is the weather
42086,😂ok g. Hope you are doing fine.,Idc g😂
42087,h apsi?😭,Mee too what's going on
42088,Mtlb bhai,Agar khud gyi h to move on kro
42089,Kuch to log kahenge,Ki mai fake id waala hai lol
42090,Aap kya karte ho,Kis ki
42091,Delhi,R u from jodhpur
42092,Yeah me,Any programmer?
42093,Hmmm 🤣🤣,Aur btao?
42094,Yep,Seedha uncle he bana diya Gajab
42095,Ji nhi😂🤣,Discovery apki achi chal rhi 🙂 andar ki khoj karne wale ho ? 😂😂
42096,India,please tell your country
42097,Helloooo...tumm mat hi padhnaaaa meraa kucchhhhhh okayyyy,duniya ka kya karne aap  padne mai padoge    ak aap daalo ak mai
42098,Come then,Waah jii.. My dream is to go there soon
42099,bye bye take care❤️,Niklo gn
42100,Ok,Haa ji or main kabab main haddi ishilie byyy😂😂
42101,Thappad se dar nhi lgtaPyaar se lgta hai🤣🤣🤣🤣🤣🤣,Thappad khana hai??😐
42102,What,U m me
42103,Chat,Ohkk 😇 what do u do
42104,What language is it?,Nohari amee sempa
42105,Yes,Engineering students
42106,Brk h😂😂,Pad le ja k
42107,Noo,You like cricket 😊
42108,😢 sorry,I don't care now 😏 if you are not reply
42109,Yea,Hope soo😑😑🥺
42110,Kkrh,I'm good too thanks
42111,Kya kaaaarahe ho,Kya karrahe ho (to a boy)Kya karrahi ho ( to a girl)
42112,Kya jante ho bhai,Koi Naukri dila do
42113,Fir to earnings km hojaygi,Abi mne tax m 1 kia to 0 horkhi vrna to minus m the
42114,Yup!Relax kro 👍,Bad m btati hu apko...abhi mujhe break chahiye
42115,ni,Sorry tu to bura mann gyi 😂
42116,My imam,That's true
42117,Noi noi Horror dreams!!,Chocolatey dreams!
42118,Krdia,Dlt also
42119,👀,Hi 🙄
42120,Ohh yes I love all of them and I know Indian armys are too many,Hmmmm my friend love bts and you
42121,Yes yes! What u did today?,Haan to we can get naa those quotes??
42122,Hello i  am muslim boy,aplgi astatang
42123,Area wise depend krta hai,Oo hm vaise to airtel kaafi accha chalta kabhi kabhi
42124,Kr diya delete 🥲,Pkka ja rhe pin krne🥲
42125,Nhi yesa nhi bola me. 😒,Keep quiet bolra
42126,😂☺️👍,Aese hi rehna
42127,I also good What's Ur good name ?,I'm good wbu?
42128,Donation,we dont have spam
42129,Persian i think,Arey bhaisahab kya hogaya kya bolre ho🤣 whatcu speakin bro
42130,Yes💜,U army?
42131,😑😃,Hme lga real me h
42132,Oh 🤔🤔,Game...gaya phir
42133,Apke channe wale😊,Aap kaun ho🤔🤔🤔
42134,@Rexzm unban,Arey....ye to ban hogaya
42135,Hu,Hi ank kon-
42136,Who r u bro?,Mujhse baat krogi
42137,Atleast one order would be also very much helpful,I'm not sure if I can provide you some order for carding.
42138,Thinku👀,Aur tum hme bhul jao ye hum hone nhi denge
42139,Yes bro,Hi man
42140,Haa,Are tag krdia bhi
42141,Kahase ho,ha ji
42142,bolna anmol,Priyanka hai
42143,KTry to kr ek bar,Rights ni h shayad
42144,yea..it feels the same here😅😣,Lazy and hopeless
42145,No not at all dear...keep calm✋Just trying to pulling ur legs😂,Axa mtlb tm bhi😂😂
42146,Iran,Frm India?
42147,Kaise 😱,Mera wellness to 56 h
42148,hello 😊 good eveningedhar bhi aa jaya karo kabhi,Hello 😊 Good evening 🌆
42149,It's confusing here,U waana talk.. talk here
42150,Bas asa hi,Ku ji kya hogya
42151,Paise?,Hw much👀
42152,"Good, All d best!",I will return them all today
42153,raha nahi jaata,I want t u
42154,Ok,KUCH NA
42155,🤣😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,Yeh toh sugan ka ek rupya hai Luck as Gaya 🤣
42156,Yes u r,Nahi to im ladki
42157,Lost thi,Ni ni 👀
42158,😳,Ye Arya kaun h or kisse pyar krta h
42159,Ok uske alva kya kar rahe ho,Ap se chat
42160,Sprouts khaya Karo better than that,Mai kha raha hu
42161,Hai babu😘,hai babiii
42162,Good,Kese hoo
42163,Why there,Talk at my chat?
42164,Hm,Accha h... Subject
42165,Jaa re,Ludo game
42166,Bf hai tumhara,"OhhGud, nice to meet ya"
42167,Badiya kahn se he tu,Tu bta
42168,Thankuuuu,Aap acche ho
42169,I answered them!😭🥺,Now u also started missing the tags 🥺
42170,Chaand par,Kanha par
42171,Kya ladki ho yr ... State ?,Planet earth 🌍🌍 u
42172,😟😟,👀 kya hei bole aab
42173,De do aaj hi mar dunga😂,Mere paas h lele
42174,Pragathi,Ur good name hawas ke dewta
42175,Haan wahi samajh lo,😂😂 बाहर आ गए क्या
42176,Ok,Main nhi chohnda tusi Punjabi got bolo ji.🙏🙏🙏
42177,Why laugh..i am seriousaly🥺🥺😂,😂😂 kk
42178,Yes...He is famous ....That's why I tell,But Bollywood's king Shakhruxkan
42179,12 th 🤣🤣,Aap konsi class mae h?🥲
42180,Different,U funny 😂 How's ur days
42181,Good where are you from?,Great and you
42182,Hi  rising star,So rude🥺😒😒😒
42183,hello seee saw,Ohhk wait ....
42184,Bsbs itti choti nhi hu m,😂😂😂 Teri pic
42185,Thanks,Ohh mann mai Pyar acha h 😅
42186,Otp?,S3c43t c7at
42187,🤭🤭🤭 muhje interest hai isiliye sikha rahi hu🤭,"Yes done, That's nice, itni telugu main nahi sikh paya, waise hindi easy hai..."
42188,Ca,What's ur education?
42189,bye,Then let it be gooo
42190,Pg final year,"Same, ethram classilaaa"
42191,"Haa a pan 6, 😂",😂😂 Maja nathi aavti... End ma game j 6... Su made Kai na.. atle stop kri didhu
42192,🥲🥲so what if i also wanna come,"No, only kids can go😌😂😂😂"
42193,dmmmmmmm dekho,Itna laal kyu ho rahe ho🙄
42194,Jis mmmmsssggg mae hmko tag kiye ho...uske niche dekho🌚,Vo toh mai hu hi🥲
42195,Dukhi hu,Bhut khus lag rhi h... Kya baat h
42196,I cant,But some special chat pls come
42197,🙄😁😁😁,You got too much money to buy that long hair extensions.
42198,Baad mai laga ki that was very dumb 😬😅,Divyanshi kuyu delete kiya gif 😅😂
42199,I love your language. Even if I don't understand most of your songs,I think its a very hard language
42200,Haan bro aur mujhe bus inlogo ko dekhna hai joh yeh sub kiye hai,hanji bro  jaur aaega
42201,Why,Dont say
42202,Space me,Kaha ho 🤔
42203,Mr Potts,"CHAT XP , ADMIN MAM 🙂"
42204,I'm gonna hype you up 👀,My goodness! I'm completely flattered now 🙈
42205,kkk aap cute kaise ho cute likhne se cute hojate kya,Uska check kro vo mujhe nhi pta kon he OKKKKK
42206,😂😂,Hmm yr
42207,I'm not bad.  Nice be grate👍,Hello mahshid khanoom how are you?😃Thanks im great thanks🙏🏼
42208,"By ""we"" do you mean you and me?",We done something
42209,At the moment no,"Oh soon u find , so anything New in cooking?"
42210,rukoooo,Ha to ja rhi plsBye
42211,Means,koi gaaalii de tooo sidha kick karne usneee😊😊😊
42212,Nice graduation?,Still a student bruh..😅
42213,Tatti  name h 🤮,Nice name AREEBA
42214,Bolo bhi,Arey please
42215,haan aapke haatho se,🤣🤣🤣🤣aapko pina h
42216,😭😭,PAPALE PAPALE PALEEE
42217,Nahi😒,Geo pdai hh tumne
42218,Hello,Hlo Yadav jiii
42219,Hey am Kabir,om telolet om😍😍
42220,What is your guess?,then u from
42221,онненикига бекнвол лоли 😆,иди отсюда русскийй
42222,Us settled indian,The U.S.
42223,Ohh... Kya likha tha?,"Ham the ,"
42224,Why not?,But I say no
42225,Tu school ka hai koi 🤣🤣,Vo kon h
42226,For wht,I have downloaded you
42227,GmAao tumari hi kmi thi,Mrng all ji❤❤
42228,Today no,Classes dear
42229,Kya?,ᴀʀᴇ ᴋyᴀ ʜᴜᴀ ᴛᴜᴍ ɴʜɪ ʜᴏ
42230,Chree,speak farsi
42231,Ha mere baad mera husband hai,Dp me tum Ho Kya
42232,🤔🤔,U didn't say me😅
42233,Tumhe to nhi bola,To Kya kru
42234,🌸🌸,*hugs u back*
42235,r means ram🤣🤣,More wonderful 😊😊
42236,Is liye kyonki tumko badi age wali ladkiya pasand hai,Ye rashi block kru kiya 😭😭
42237,Wo cheerh gayi ..😂,Aapko bahut jada taklif ho rahi😝😝😝😝
42238,Bhai ghar bula le,Voice chat pe aao
42239,In which class do you study,Attending online classes
42240,Konse wale 😢,Listen to music
42241,I'm good thanks...,Fine u say
42242,Before you were born,Telegram mai kab se chatting ho rahi hai
42243,Pakistan...,Oohk kaha se ho app
42244,I can't take the place of god,Kya hua... 🖤
42245,Red nhi bhej skta.. 🥲,Love u 2 bro 🤣 Red Heart ❤️😂😂😂
42246,Yeh I have some russian friends thats why I can understand,Oooohhh 😌🙌
42247,Pikachu I choose you 🙄,Too hmse bhi baat kr loo
42248,prince😂,Same as username🥺
42249,Yes 🤔🤔,Hmm iss id se to koi pehchan ni raha
42250,Yes Multan played great,Sorry u city lost yesterday 🥴🥴🥴
42251,Protest nikalo,1 bndi ko 5 reply mtlb bda galat hai ratio
42252,pucha aankh khol ke padh😂,question puchiye
42253,Ok,Ok ab kare to kar dunga
42254,Who🥲✨,Yes cute like who😌
42255,Oh delhi mein kha se I'm also from delhi,Yeah I am absolutely good I live in delhi
42256,You don't know this song?,Maybe I'll like him too after I chat with him.
42257,I remember it👀,Oh my☺️🥺😂😂😂
42258,Tqsm❤️,Okie sis!
42259,kk baby,Yr ñ@ñđ@ñï ßïñğh meri id h
42260,No,If you are free can you talk for 2 minutes
42261,Tqsm 😊...Bt I'll wait for him😊,"I can understand, don't worry you will get nice person as you."
42262,Ohoo full masti na 👀🌸 enjoy enjoy,"Free types hi, Movie, songs, went Smart bas yahi sabDinner frnd k ghar se aayega so no work for night!"
42263,Ya I can see😂,Me also chatting with you
42264,Are u a admin,Whats this?
42265,Thanxx but uske liye mere papa he kafi hai mujhe guide karne ke liye,Apko study guide karunga I m top
42266,Anything will work,What you want to talk about
42267,Why,Txt me
42268,😒😒,Okay I know It
42269,Hi,Hii K K
42270,Aisa kaisa??,A̮i̮s̮a̮ k̮u̮c̮ḫ b̮ḫi̮ n̮i̮ ḫ yaar
42271,Tqsm☺️,Hahaha you are cute i like you
42272,What,What do mean by whag
42273,Yeah,Ya it's great 🙂😉
42274,Hey i from mars,You are from?
42275,Sorry dekha nhi tha,Aree yaar mai kab se puch raha hu kuch
42276,Not happy without you😔😔😇,K u
42277,Ok  fir kaha h ??,Are n h
42278,Us ladke se to bade bade baat kar rahe the...ab kya huva,😏😏😏😏😏😏😏y u tagging m a poor guy lol
42279,Mujhase🥺🥺🥺,"Hn, irritate ho gyi"
42280,🙄series??,One of favourite is The Office i have watched it 3 times
42281,Why,Ye salmonella kon h
42282,Not a prob,No I do not think I want to do that
42283,you do not like me,I knew...🥀
42284,Acha Acha,Leca leca
42285,Yaa,Kolkata se na
42286,Bhut badiya,Mujhe yaad
42287,Okk🥺🥺,😂😂Ms ayse hi click ho gya
42288,Bolo bhai,Hello neha meri bat suno
42289,Hjiii,😂😂😂nice questio
42290,over action cheiky ikkada group lo andaropp friends eeeeee nuvvu naki dm cheila anthakanna galeez kadle inkosari tag cheiky,"Galiz pilla , andarki reply istunnav"
42291,Hello,Sorry sorry I was not telling you so sorry
42292,Hii Mr mr..,Hllo miss miss
42293,"be always good , i am 5% good  and 95% sad where are you from ?",I am good how about you?
42294,All the best .,Ha.. Chal ri h.. Survival ke liye lad rha hu me to.. 😒
42295,Kuch na,What 😅
42296,"Kutte kab video call huaa jhuthe,",aao aaj video call par bhaut din se mile nahi hum dono
42297,Hm... aapne b 2nd time puchha😂,2nd time answer diya... H na
42298,Kuch thek ni,Kaise chal rahi hai apki padai
42299,send 😳,Mujh send ker dena
42300,yes 😅,Akele akele
42301,Clg,Clg u
42302,Kya pta wo shi lg rhi thi wese mujhe,bol to rhii baaki pta nahi telegram par mostly  sab jhut bolte
42303,Tu Kon he,Ye prani h kon
42304,Oh now I remember asking you your language you said hindi then why me saying nope. What did you say?,You asked my language i said hindi then why you saying nope?
42305,What,Data ur laugh not song 😭
42306,kabi mt anaa go nd study future bnao,Ok ok jari hu ab 6 month nhi aaungi 🥺
42307,Vaise Maine suna Hai virtual bacche pagal hate hai,Telegram.. SB possible h😂
42308,I'm no one's love 🙂 and that's not the word I was pointing out 😂😂 it's the last word,"ENGLISH 🥲 , AND GAY IS NOT ANY KIND OF BADWORDS !! MY LOVE ❤️"
42309,Good Morning! 💕★᭄★♡𝙰𝚗𝚒𝚖𝚎𝚜𝚑♡★᭄★💕💜,Very good morning🥰😁
42310,"Bilkul bhi nahi, just like you 😂",Neend nai aa rahi sabko 🤭
42311,NOTHING VRO LOL !.,What happened sar why you sad ?
42312,noting😂,What is my business
42313,No i don't have 🥺🥺,Time pass only.....
42314,Haa gud nytt,Chalo gn👀
42315,Yha sab friends nhi h real friends we can,yes all r friends here u can talk
42316,Good  where are you from,Fine how are you
42317,Han Tu bhi bolati hogi Na Mera bf hai Kisi ladke se hi kar rakhi hai ja FIR Alein  se,Mere ko kya pta be vo
42318,Beautiful state❤️,Nice m Uk se
42319,Huu,Hahahhaha lol q na jaha bhi hogi app me vhi aa jaugaa
42320,Lol🤣,Waah waah studio wali 😂
42321,Oh cool,Yeaaa.....bahut jayda....👀
42322,Uska bhi kya hi krungi mai🥺🥺,kkk dil rakh lo mera  uske saath khush lol
42323,Ye emoji kyun😒,Yhhh sure🙂
42324,om cp gua deak om😭,To funny cats Ka romance😂😂
42325,Try to Be happy vro,So what i do
42326,Behaviour puch raha hu Jaane k lea ni Bol raha,Ja ri
42327,Typo😕On earth🤔,At earth😅
42328,Hm we all are friends bro 😊😊,Hum friends ban sakte hain
42329,Yess ! It is true🥺😂,"Arey!! Noi noi, nothing lyk that"
42330,Hii,Dont make ppl scare
42331,Fro me u dnt know for ur frnd privacy nice,Idk bro
42332,Ji,Are you living delhi
42333,Yes,Good mixture of questions
42334,Not with you for sure👀,Are you simping rn
42335,Completed,Are are kya bat hai...Neet ?
42336,Accha tayyare krle fr uski phle,Wo jharkhand public service commision
42337,Hii g.irl ?,Hii 😊😊
42338,Thst I know,It's rose
42339,Good night,Goodnight everyone🥱🥱🥱🥱🥱
42340,👋,Soo ne jaa rhe ho
42341,Meko mute kisne Kia I just want to know,sad isnt it
42342,Ok,Ya.  Sur
42343,Hello,Why would I say sorry to u 🙄
42344,"Avv, thank u😭💔",You look cute
42345,Kaha,Can you come
42346,Kon,Hnnji 😘❤️
42347,Weired something like dat 😁,I'm not crazy
42348,Han ab sare buri adatein chd di,Tumne chhod diya Daru sutta aur satta?
42349,Saadi karne ka man hai,saadi feeling koi feeling ni hai
42350,Fine!!,Nice Wau ??
42351,Seddddddddd🥲🥲🥲🥲🥲,"No, I already saved this gif"
42352,"Mazaaak, garam matt ho mausam thanda h",What did I do?😕
42353,Ok,Always cute
42354,noting,"Yes, I'm an American, how about that?"
42355,Leli,Muze 1 seat chahiye
42356,Are kon ho ji,Toh fir kya
42357,Kya  smjhi nhi hindi m kho,tumhara major kya hai ?
42358,Ha mere hain 😅😅,Khudke sticker
42359,bhane hmesha ready rhte logon ke😂,Abhi sardi ki wajah se gala garab h😪
42360,"Aww it's ok, u van ask in English","Actually I used to listen Hindi songs in which urdu words contains, so I don't know urdu,,so how to type it 🥺"
42361,Ooo,Haa gf banane ka
42362,Yeaa....ab ek chiz mai bar bar nhi bol sakti...🤦‍♀🤦‍♀🤦‍♀,Is it worth watching?
42363,Gs yai yia,Na minka raui
42364,Kon yhi be. Tune shinchan ki pic send ki thii..kiske bre m puchh rha h,Yehi ☹️
42365,Brains.,How someone can give chai online 😂
42366,"I don't know any better option either, other than riding in a  hoodless car😅",Tell me na
42367,😂🤣🤣🤣😂,Bch na padega phr tujhse
42368,Where,Yes there is so much water even most area is flooded 😂😂😂💦💦💦
42369,Hnji✌️☺️,Means......civil services?
42370,Yes,I hope👩‍🦯💔
42371,Mai to hu hi🙌,Ji Han Aapki tarah😉😉😉
42372,Lessons😁🤦🏻‍♀,What are u doing
42373,Padha likha kro.... Kitne saalo se ho kg mai,Mai bhi kg me hoo
42374,Kiska,Warn hataya
42375,Awwh! Kora kissed @Gujjar1904 with kindness.,yaaaar kyaaaa haiiiiiiiii😂😂😂😂😂😑😑😑😑😑😑
42376,😩,Your eyes 😍😍😘😘
42377,What made you that way?,D i a m kau pantek
